Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
20,4.04127837,2.456778465,1.79366219,-3.620888186,0.367675246,2.698698106,5.785088118,1.161938833,0.921328416,1.698379037,1.814782925,-0.55290232,-0.325338473,1.004583492,1.807563835,1.411926282,3.42420931,5.865833944,1.399359178,0.876872754,5.024854161,-0.862376155,0.184297672,4.148459775,2.26368544,-0.344996571,1.737767642,1.967704963,4.491035879,2.901421161,0.865484474,3.664216734,-2.205703233,3.695510527,3.308132759,2.307573977,-0.614547693,4.194901324,-2.011947781,4.962482367,-0.174507112,4.015447973,4.230140943,3.113905303,5.912217703,2.754954607,-1.320394471,-1.109065927,1.216799041,1.562468496,1.637195141,10.76815382,4.005908724,0.047657521,1.821597186,0.69185204,6.475976781,2.648500086,-0.045563218,-2.198025199,-0.057776767,-1.268873968,2.883313991,-0.018146409,-0.436077386,4.901546489,3.693179759,2.575388593,-2.344012609,-1.966507091,-1.303487653,-1.507297403,2.859968737,1.261303913,1.068521051,0.522026008,0.155277723,0.105064292,1.097250061,-2.138592055,-4.192291803,2.217498681,-2.716328882,0.039407932,7.820493193,12.50734312,12.66772606,27.04412277,26.12561898,28.48584034,55.49770805,59.08553078,55.09697196,120.9792266,100.1348215,98.03558742
21,-0.210228802,-0.54850201,1.732937505,2.608929986,2.768722368,4.668280091,0.13777709,4.984407488,3.034536042,1.708064733,0.447619624,0.204121376,5.128423065,2.006607741,2.064773848,2.189144108,5.362576143,2.313566964,6.14963609,3.185005348,-0.676768277,3.447711678,5.971111252,-1.501934534,0.143705484,2.988019953,3.651966379,0.022774458,3.728530628,2.397019347,2.160013821,4.909857405,5.389993141,4.641849283,1.101819835,-1.063917847,0.361556431,2.637481558,6.861743897,2.677278554,3.117410727,2.665379934,2.847152543,1.204095324,4.825367626,4.087428202,3.524078212,7.109449425,3.697676733,1.332763432,2.303596067,-2.345864689,5.237565169,3.10157166,3.301181003,0.722982013,-0.806502283,5.06104537,6.084193624,0.344397137,1.031578569,-0.956478343,2.321931607,1.21735527,-0.778157135,-1.736812909,-0.227327133,-1.508092207,3.892309585,0.756848619,0.08070668,3.910386612,0.689701292,0.05643643,1.275181244,-3.697382028,1.620338318,0.096942909,1.318491255,-0.836033135,0.116197607,7.265719852,-3.600538457,2.29937411,22.85518821,25.88552498,24.49466919,52.24126967,50.58986375,54.2483767,115.9602713,124.5064088,118.488963,224.2885064,216.3145877,222.6416785
22,3.213695507,1.509305424,6.053689975,0.79624594,4.753896193,-0.679440928,-1.447405635,4.175849795,3.307134506,1.071313143,1.579630411,-0.385856758,0.597708821,3.721399739,4.901289837,2.419006955,0.626642411,2.718292975,2.720693985,3.868544179,1.338990505,1.103209273,1.4789463,2.275553817,1.712483373,2.962039553,3.747603437,4.469887214,6.555350049,0.371721068,-0.611151189,1.559328599,4.630120632,-0.361153567,3.00034519,1.097114144,1.237259209,3.190387507,3.399626465,1.909820676,2.862218587,3.673747492,3.889160859,1.975640781,2.953166748,3.776604094,0.684232846,6.470151764,0.46099801,1.680569725,-0.74435674,3.819794146,0.267846228,-0.409541035,3.075216986,0.196753527,2.443938154,-0.96222676,7.476611712,-0.451284277,2.037915366,-0.506969773,-2.440586678,0.751637902,0.017668713,-2.216926293,-0.998798022,-3.501833415,-4.690430558,0.182146592,0.753010029,-0.117507499,-1.045843609,3.09772259,-0.294667472,2.171315602,1.46911822,-1.144074331,3.589811923,1.20285809,3.551695393,4.129510356,7.68960774,9.962975677,36.3724388,40.63698443,46.32950326,94.49002319,90.81042235,94.66594901,183.0303513,194.8268894,188.8346196,370.1698243,358.4490782,369.650098
23,-0.302855336,2.136166659,3.461675065,5.510891935,4.304525707,5.391996357,3.489895747,0.682174016,2.70166489,1.67199489,1.758448931,4.985719026,4.086528704,-2.064107006,5.635472092,3.635534268,4.576498814,1.582210337,2.105865565,-2.1952292,0.345749248,5.285841137,0.925783131,-6.210353664,2.152383731,-0.055559615,0.983966796,4.031657637,-0.567330377,2.53077364,2.265584995,0.651834313,2.218657935,6.892000331,1.242303325,0.609542808,1.476895364,4.356104916,2.696744523,0.867855211,3.322517036,1.214829402,3.056257307,7.741417535,2.327113187,2.709516479,2.939543344,2.361058127,-0.362271731,2.134480299,1.011459483,-0.019687294,-1.622687492,-0.350380883,-2.085409762,1.273245993,3.705071925,-0.220366913,2.121245648,-0.810307327,1.777984417,-1.211329435,-2.898848138,-2.000444954,-1.751639953,0.866416994,-1.990921126,-2.458292193,-0.126153558,-4.211230324,1.918360371,0.194668133,-1.682913044,-1.337372928,-1.980824131,3.943887771,4.845185769,-0.080086589,7.829114995,3.39569604,1.605233021,12.18076314,12.32250192,20.11121829,54.23513085,53.34749706,55.70477319,130.7745345,124.7238525,130.7896998,244.5948687,259.9974715,254.829654,525.9320331,510.9972557,517.6107499
24,0.372085206,2.165390335,1.315431203,2.0047314,-0.293914675,-3.506313345,1.760369778,1.506935931,-3.33728889,5.529096935,2.553562684,2.426298139,0.40660734,1.360511305,0.968728498,3.574839644,4.092890262,-0.465288715,6.052474757,-0.288936992,0.38738782,1.94343927,4.090975145,1.443956764,2.921190021,0.662395959,5.443659206,6.249113766,2.350498675,7.211861624,4.742005787,1.789461453,2.940019155,4.907559219,3.154959598,-0.112133429,2.003878427,6.724744847,3.033753791,8.195471324,-0.728922716,-0.468999379,4.660112113,0.250883678,3.603014513,3.787312872,4.325323789,3.980018358,1.134724916,-0.693429751,3.491991117,-13.20766869,-1.819017016,0.675903264,-2.849638401,-0.630369014,4.721649358,2.653724928,4.194661317,1.444093892,2.247595505,-0.456091599,1.114118085,-2.776135357,3.104106022,-0.077800893,0.206549384,-3.003994332,2.44826325,-4.677523488,2.786746776,2.508997351,2.200827966,2.807937763,-1.408321524,8.953549801,6.726859834,8.508082402,16.5323158,14.62907506,19.32013539,31.99299473,26.24668885,33.5386211,61.44537741,60.47883043,63.81710754,157.1855786,146.8786973,158.1861117,287.1278481,303.3628782,296.1394865,647.3528753,627.2202094,628.6129286
25,3.396765973,1.020838444,3.353384102,4.098281683,2.879556468,0.727848839,3.846045569,-0.25740535,4.908625875,0.396595476,-0.497442304,0.794982677,2.931363447,3.806576054,-2.345415423,4.954599413,1.37990085,-0.258341334,3.11839215,2.667625411,3.460854278,1.318445684,3.999884501,0.272872746,1.181928942,8.702655462,3.535032112,4.992212259,2.215044925,5.829390258,2.344178362,6.492025914,5.070095739,1.471392115,3.826584888,-1.078091317,1.002574336,6.305561586,5.254187103,2.644018755,4.404064105,6.89310142,-0.0702001,0.838436125,5.376689286,2.258929107,2.67213841,4.836451331,0.985874996,-0.924004493,-2.288003764,-10.08850712,0.967321757,1.093250487,1.568610358,2.144744174,4.462255983,1.220131821,1.740364874,-1.616533999,-1.881686341,1.247288537,1.293414384,-1.168095326,1.906515495,-1.0408202,0.245524034,0.255062071,0.210736225,3.091196627,3.456315323,0.035421305,11.70026376,4.256396448,8.494090241,16.93780712,18.36416884,16.30942129,33.65867308,33.93992983,35.7779114,62.51923011,63.23302311,67.19223881,66.14340276,62.36364132,68.31906971,169.5425484,158.5716742,171.8953702,307.1424441,324.0666393,315.6578865,712.8309172,692.930223,689.586233
26,5.116096534,-0.776235693,2.854190519,4.004097284,0.75423656,1.317173593,0.682392158,3.202809772,1.928229822,3.002691791,-2.176547737,3.566423846,-1.049120368,0.758600487,3.0073657,2.936401184,1.770622712,2.774531881,5.41624533,0.429780422,-2.56846288,7.465506355,5.052769817,-0.966619953,3.226358574,2.750381293,-0.727237626,6.054708457,1.674463708,3.478277372,3.780757293,2.434374206,5.647949494,3.617200496,1.269360981,2.120496621,4.432045176,4.764543096,2.047736659,3.888529245,2.570837749,0.832188849,0.287238433,6.781085079,6.401153566,2.289238993,3.186237303,-2.244479642,1.538456215,-1.131192861,0.063763836,5.563180443,2.55041479,-1.802496525,5.719632492,-0.38331954,1.306439384,2.385960797,-0.373979775,-0.017278619,-1.068343209,0.099869984,-0.753871995,0.787215107,-3.266853663,-0.115981315,-2.771516083,3.674822072,-1.147030063,1.72526439,1.441036718,1.492700712,15.66013818,17.58208136,14.94273138,33.43739061,34.83878323,35.70778564,77.74695434,69.62346145,75.94899454,149.3871821,152.0415689,160.6505754,68.63321998,62.2066953,66.88360317,173.415504,161.5429681,177.4105907,316.5783845,331.3655405,321.0018452,738.9900831,718.8164741,713.7150417
27,3.604260615,0.626880701,2.755798948,4.768158397,1.453499158,3.410915908,1.413031266,4.370487207,2.519129984,4.768795536,-1.157866849,3.109508325,3.662019916,1.853892476,2.142336703,-0.764399686,4.32041391,-1.564918321,-0.679633444,2.969782576,2.462655261,-0.336760171,2.975381171,1.219889704,1.724958538,4.680307368,4.856587787,-0.366441814,1.503794315,3.377287231,1.94440886,-1.689395242,5.859385855,3.82528537,-0.742420191,-0.704812329,5.483690916,2.172078044,1.915780454,2.495875926,-2.824464021,1.347506281,4.342193466,3.029182211,-1.734447549,3.907351314,2.091004842,2.294770481,2.916455946,-2.680356945,-0.452876161,30.73912266,-1.842453981,-2.151638686,1.130027073,2.572780873,3.154001202,-1.912147821,2.519206518,1.953097392,-2.264832478,1.803362231,-2.498673319,-0.4509124,-1.248658893,-1.025521042,-0.701813622,0.402215552,0.982298829,6.747314201,-0.107155941,4.641645386,31.08269019,31.63557094,34.67295968,74.3089228,73.00522515,73.98762139,155.1897836,138.7570813,157.5672352,272.3400304,275.7035936,286.2050189,68.45536955,62.37222448,67.89678425,173.9715926,162.0727484,178.2868186,317.3694364,331.9187354,325.2041411,745.7697879,727.4678224,723.5945321
28,1.536846718,3.86413037,0.247288866,-1.207330094,1.656903069,2.451710558,0.543990664,7.386560274,-1.346993632,4.977572115,5.060638589,1.605257033,1.71441264,3.012592071,2.972971729,1.101088906,0.760947049,2.826092735,1.934695379,-3.902860422,1.360912887,7.224054017,-1.810264319,1.576896324,1.506399804,-2.307909284,0.784225869,3.413337571,2.747353109,3.560564688,2.367307106,0.238660477,1.71655715,7.340568365,1.875073307,0.103158344,2.963088362,2.848143842,0.944631755,1.705029873,2.25571608,2.143026006,6.680736136,2.902328504,1.861444151,6.850257241,-1.695382565,-0.175218707,0.490228595,-0.630028685,-0.75320173,9.078968392,4.027816147,1.754987858,-2.207129041,0.957145802,4.729612455,-3.130572965,1.829062316,-1.694497064,-0.723764728,-1.578585437,-0.593040929,-0.68144764,-0.436150252,2.794142506,2.720686066,5.725271669,2.737095148,11.41106171,9.094027869,10.29614555,44.87388825,55.83853397,54.7066156,117.7054687,112.2731529,115.1110891,238.365203,209.8622399,243.5429956,427.2401722,426.4515114,441.454661,66.8126638,62.8083321,68.57547733,171.8635561,160.928729,177.8253863,317.7974477,331.5756962,325.2456529,747.7589136,729.7544667,723.8525515
29,2.360711692,2.902359781,2.193031487,2.22714022,3.902236076,0.80562875,4.402053974,2.967009241,-1.492898143,4.704062578,5.830037822,-1.754780633,0.002304999,2.994784341,2.894640388,4.526836536,3.264400319,0.069974849,-0.857595273,4.364630021,1.020774017,5.334952299,-1.685856126,-2.046758057,4.948382811,10.09595089,1.256300955,-0.049856992,6.259310452,1.962404274,1.318945064,4.93510028,2.633849027,3.214163391,2.885110144,5.484245303,2.170230466,-0.687925295,0.460200161,0.331964087,1.716635068,1.75462065,1.058548459,-1.328024841,3.892991018,2.732381528,2.255603414,4.604705429,-2.134802056,-1.205661098,1.406937521,12.29051405,-5.04730898,-0.274995992,0.029225308,-1.644531305,3.209454718,0.770397642,2.126784259,-4.669078778,1.285050876,1.466610152,-2.315489598,1.894099707,2.215569974,2.325146074,5.988179884,9.363328678,13.68323718,21.14942424,19.7960053,25.44897096,58.22083592,66.02566461,67.93940288,151.4057652,139.986254,147.6999786,312.3702901,270.0884119,320.7037201,574.2061522,566.4648508,583.4953549,65.46396339,61.29573984,68.57489992,171.1095558,161.4231922,177.0230727,315.4358131,331.4911753,325.0936139,747.7190526,731.9108134,724.8976823
30,-1.250055132,3.053405543,2.280696539,4.732451933,-0.991657558,3.421771532,5.387996452,2.163357897,-0.200870828,1.581058197,1.152004587,0.109722034,5.549177871,5.124335948,2.137750443,3.33306125,2.76639522,1.761146462,3.525292311,2.290776336,1.267708561,2.172645417,2.162962762,-2.235895436,1.53579894,-1.405128987,0.648275489,5.571359365,4.728344831,1.318054163,2.137575599,1.286670331,1.583593145,4.341155294,3.539786882,-1.284327713,4.676373106,4.127457892,2.652048596,3.349674874,2.503089074,-1.183524713,4.485920393,-0.410866112,3.220303566,8.061495273,-0.297769386,2.589919671,0.816420024,-4.610172216,-2.238983131,35.60746715,-0.749105319,4.765953707,-6.48108758,-0.642717224,2.202580198,-4.789693671,1.830687285,-0.077768659,2.356980151,0.300502752,5.570161072,4.5099673,1.853625705,8.01863362,17.79600562,23.31205515,21.65858087,41.52660479,46.64767299,46.47767772,66.60744442,73.83014936,75.58238191,172.1320483,155.442491,166.0417031,358.3904858,307.2163256,369.1594049,673.4412356,657.3475634,678.3397737,63.52868322,60.03913833,66.22418607,169.895075,160.960069,176.5262497,315.4423016,332.0532696,324.3339726,749.9617227,733.548423,723.6244983
31,3.62779917,1.198038667,1.414369699,0.892947509,4.453814597,1.702272545,1.147444376,3.07331186,1.233504803,0.745967159,3.239876663,-3.102935459,-2.778955433,5.310279706,0.755203571,2.770159146,-0.236216309,0.679201639,2.21850511,1.960043534,3.021472619,0.469080549,-0.568410721,2.906865545,-0.439394395,3.440962723,0.553235321,3.294388668,5.026329298,1.266496814,4.114836428,-0.639016967,4.453515344,2.231618496,0.471802067,6.600783546,-0.655585651,3.557441474,-0.60293943,1.533194043,4.310449315,2.613763113,1.708827954,3.538658084,2.353404613,2.613363062,2.693585001,4.77481276,-3.495965742,-2.846125676,-2.210444479,29.01947941,-1.859095561,-2.914269975,-1.756525565,-1.384593113,3.611907672,-0.088040891,4.501813761,1.69193292,4.945741093,7.38920127,10.40336213,14.57458232,10.18595053,21.09614143,42.17065247,54.77118284,43.36866994,87.98431678,90.52262212,108.1281567,70.04328422,78.08276839,74.99794334,181.3880486,160.9651177,175.4033065,378.9737021,320.4809626,391.5813882,721.7910119,699.664292,722.7478586,62.99641478,58.63028691,64.5674793,169.3882904,161.2081587,175.9172661,314.8824875,332.9490409,322.3042047,750.4483806,735.8699838,722.5476068
32,-0.292376269,-2.870285351,0.439793065,0.515064212,1.818073472,1.611528752,1.609038996,3.798196092,2.565200333,-2.388152353,-0.086277576,-5.303949256,4.986484336,5.024297942,-0.87804544,-0.069368387,4.224309457,3.087134252,-0.739482787,0.243104117,2.567610009,3.340766596,6.048946938,3.522556852,1.952860159,2.024016811,-1.431241812,3.525418088,2.959029416,4.704525499,3.165095917,-0.006101582,5.209971238,1.093385355,0.275643797,0.333391278,2.29402688,0.818651668,-0.388863539,2.468634949,5.814464756,2.765826178,0.088511637,0.902227635,3.049549145,-2.039580126,5.283526955,3.198151907,-3.223696545,2.654590326,0.599672884,11.97461153,-2.411071686,0.732720119,-0.434568145,-2.30443086,5.085811442,-2.608294518,-0.017078002,1.040299137,13.14295346,14.40347761,17.71309015,34.61796953,24.89614957,42.74637035,84.65123904,133.1710858,89.10989482,196.8401396,196.5982368,203.8547161,70.32400299,80.70130908,77.61547619,186.6392722,164.2019884,177.4300079,386.2188089,326.7885563,395.6994191,737.8407114,714.3771867,740.0565919,62.4695584,59.4415032,64.197451,169.5886257,160.4898281,174.7930399,315.1813666,332.0028514,323.3761955,750.7880114,735.3902233,722.2633896
33,1.18261457,3.129561057,1.06697638,-1.507699327,2.008130627,1.533583936,2.539763171,2.940196943,3.7496376,0.979944644,3.13608363,-1.277723012,1.578235003,2.234139589,1.711791504,0.80481171,3.114117062,0.372894998,-2.034970423,0.705096165,3.33908746,1.718156402,2.647434911,1.758296167,1.336678829,3.156616294,5.543540822,2.693014357,2.138755135,3.791866472,0.362409316,-3.414010412,1.93872455,1.328271738,3.288202275,-2.458100524,0.815919942,1.627175685,2.518408727,1.714812839,-2.145905012,-3.419849442,1.748686257,2.64459269,3.687164133,2.411924639,3.247792246,3.567388348,0.415496474,2.848385524,0.149336073,-2.805879963,-0.829597829,-2.99548145,0.267083555,1.474010035,5.531518829,1.422557787,5.230064356,4.758831154,26.95961754,35.05970431,34.74067131,67.56527545,48.20582106,80.37672282,169.3109035,228.862545,174.1604488,338.2233928,336.8307177,348.6909265,69.6366093,80.0971982,78.49746844,188.6322221,163.6705949,179.0463991,389.4592222,327.0769184,397.1229511,743.271406,717.1383508,745.4224522,62.88161314,59.37640979,64.30384188,168.8751878,160.5180925,174.9849497,315.0867311,331.2830983,321.7730352,749.6541245,735.6956967,720.905103
34,7.732871791,3.025789996,4.294375563,4.892042175,4.013413327,3.845880346,2.102723909,1.524570012,2.07789469,2.662724058,1.105801456,-0.45684458,2.663605856,1.187160127,1.322444747,5.293428576,2.77008949,4.547511224,4.484649074,3.796253793,-0.157805322,0.806908185,0.055628916,4.28894862,0.521442386,0.029653686,2.468699536,5.414330299,-1.037262212,2.610758611,4.136185586,-0.941672448,1.768410245,5.158986501,2.053928882,-1.120611213,2.409251906,1.173917899,1.815292821,0.501336704,4.681410185,1.320466879,2.365044087,-0.298353845,-1.800580559,5.915261809,5.01040581,5.539672191,0.294855056,-3.085940202,2.317548486,6.006017653,1.810055147,-0.915508258,2.349546689,-1.58946225,4.067345881,6.985439967,0.865259985,1.05336058,46.6082481,55.93492295,54.06090019,110.4180001,82.35515462,121.8162832,254.3132456,301.4936764,254.7888101,503.5184842,501.8436714,520.8489871,67.19272073,78.97647014,78.84312434,189.822107,164.1249423,178.5233993,390.5634692,328.4124809,396.6018274,746.3381898,717.4128066,747.6749236,63.86790214,59.18190229,65.24670071,167.4296017,160.2806037,174.5708312,314.8740011,329.6373327,322.1792292,751.1250701,734.8856756,721.4513644
35,-0.824319915,0.231459196,3.568612613,2.110272281,-0.441595643,1.223363674,-0.064968373,2.825046998,1.400689164,0.076528534,-2.683043081,0.070010543,0.226075716,1.801620651,1.031180032,1.908591619,0.758969545,5.057601824,-2.068927986,5.528779771,3.079609472,-1.075514374,6.229477162,-1.847296751,3.700930069,1.366243822,5.841994789,2.022106905,0.636955008,5.319713608,4.141605629,3.448130336,8.199257356,-0.920708038,2.769000396,2.817896859,2.721273834,4.144518425,5.303772687,3.174822877,3.746336148,4.831670234,-0.552938285,4.262487409,2.781664937,2.963817387,5.799558168,1.041551111,0.40447703,1.830471368,0.004115035,21.3275456,11.29281444,9.860004723,10.15701789,3.165450772,-0.80806369,19.88343984,-1.182090314,6.95559556,60.38093693,64.38776376,66.76446485,145.3931978,104.056022,152.7112843,325.3741325,343.6657379,320.8708054,643.0853771,640.7090026,671.366183,67.03819146,77.3898369,77.48859559,189.2990638,162.4029869,177.8476075,389.7925679,329.024927,397.7959712,747.7041807,715.7191632,747.7170195,62.29109474,58.49418175,66.36067673,166.386848,158.6444636,174.6322553,314.5169437,329.8873687,320.8698936,750.9282174,734.5289881,721.7071795
36,0.529204257,2.597712406,2.091719341,2.562315393,1.340856866,3.470935798,2.597472788,5.640767389,5.209760367,-0.177211756,2.922257873,-3.604029029,4.05986449,4.785789336,1.659871135,0.123877212,1.35052745,0.548405152,-1.204027648,2.620978427,4.191295023,-2.026018558,3.15257528,2.473102129,-0.837910752,7.260887324,2.438633262,1.596252713,1.252113959,5.799904814,-1.481886413,3.158080459,5.125768,1.640012808,0.338328327,3.482633778,3.138716213,3.890959912,2.81722992,1.080200438,2.198776332,1.793421021,2.51617241,5.87062437,-0.049651806,0.420793083,3.93916415,3.686285666,1.604551659,1.514740649,5.859858732,48.2346379,25.75440283,13.3371839,27.68877392,1.435579681,4.548296227,38.34361374,4.337889641,19.187466,69.21831403,68.74544387,75.37603876,165.1610142,117.7076193,171.5265485,366.1018964,362.4247907,357.5285737,730.3587088,726.8978041,767.1354249,67.23517588,77.50792771,76.23872576,189.3867142,163.4091742,176.162668,387.6553646,329.4791338,399.145512,747.9431198,717.0954583,748.7990808,61.90333453,57.38966641,66.42097317,165.6999227,157.0499941,173.5022604,315.3964988,329.9185607,321.7211555,751.8379999,734.2796167,720.2425297
37,-0.174977055,0.188200834,2.457535645,1.701570488,1.364890569,3.910188945,-0.770643161,-0.827997115,1.653694188,1.186850371,0.397505582,-2.417177599,1.184189033,2.052016493,1.494171556,1.068566779,3.104410783,-0.824483093,3.030417983,-0.172944787,3.664207638,0.446805256,3.069407475,1.566648345,1.002715282,-0.44107169,-1.714962928,5.843971243,0.000216629,-0.619235961,3.917935011,4.716764266,1.080141669,-0.879899922,3.388734537,2.141830933,-0.5155034,2.444037223,2.30997049,1.028992981,0.980547751,2.606376756,-1.810998034,-1.10560761,6.005468187,3.284296977,2.570935576,3.874088563,10.71328044,12.31615741,8.563075391,61.85797167,63.40648906,39.70527067,69.05215274,21.48410503,4.202076699,83.34851459,3.943492318,35.65348574,71.02854129,68.67223442,76.4157148,173.4891983,123.4610952,178.0099588,383.8395914,371.1060664,371.5609857,767.8691668,764.9035433,808.2369807,68.74562222,78.11164021,77.27806561,189.2200348,163.3784534,176.3742707,385.4166093,329.0992258,397.9002629,747.7454781,718.1123341,751.4928812,59.76573235,55.96731021,65.05236568,167.550286,155.9926836,173.1813434,314.6961548,329.3827723,322.289852,751.6113404,733.5785929,720.013491
38,-0.563015493,3.12218264,2.153736438,2.95141315,0.233898639,-0.255230597,2.866086791,-2.098717758,-0.714369749,4.607365764,2.43131983,3.357572299,3.440076803,8.010257058,-0.075518208,2.908947918,2.049325271,2.101196779,4.140936478,-3.70036214,0.13938091,4.125411305,-1.705794405,-2.045127395,-0.16175824,7.072717252,3.681552636,1.441832688,1.72721504,2.071468611,0.713720923,-0.452754207,6.589885106,5.878897497,2.728812956,-0.471528457,1.846734416,2.691871764,5.638671942,3.402134402,1.110193862,6.352642142,-0.390937281,2.215474588,6.056418511,0.02812448,3.011296783,2.331166822,27.7633863,33.91548476,21.38139039,81.19292099,109.0139083,75.10015267,157.7176548,57.63036303,-0.53935078,196.2780692,-3.768292733,79.4302433,72.29398804,70.32696625,78.08646365,175.2589627,125.61347,180.0236575,389.690012,374.8015912,375.6975286,783.3858553,777.7605975,823.9484199,68.74425173,77.11804749,76.30189075,188.1945377,163.0363342,176.0167568,385.7190638,328.1000945,396.7828746,749.0882521,721.131205,751.8948348,61.12762469,55.95394211,64.1465749,167.1262315,155.7236467,173.4523326,314.2159353,328.2425889,321.4209465,752.2474089,732.5315024,718.6534706
39,2.234977241,1.100139003,-1.230370088,4.301257849,1.600192469,-2.020533232,3.40666919,0.484385827,2.953916315,-0.296917894,-4.26303858,6.130579918,4.092194418,2.075234476,1.111817838,1.062573193,0.539042413,-2.07199928,3.501330818,-0.10716414,0.964421686,0.34447913,2.749144966,-1.389749831,3.570254512,0.395073264,1.991745516,1.005304925,-0.813964568,2.525327942,3.634792157,4.604029684,1.806450633,2.351768709,3.553148461,5.831218439,3.349911678,0.430466529,1.888810309,1.471147715,0.509005092,1.653113181,3.164033814,-1.397169372,5.439733904,0.819441792,0.366212745,4.132928664,45.82382725,52.35933242,43.15895562,103.4245076,144.8989781,119.6764692,250.1811844,129.2661962,1.686169103,355.8105038,2.009809912,205.2513184,71.26113306,71.09207859,77.03903162,174.898598,126.9439706,179.5480326,391.9214563,375.917644,376.4011446,787.4140197,782.5832484,829.3901109,68.84939983,75.55565183,77.30166107,186.1253375,161.3838828,176.175936,386.6603065,328.0108109,394.7261766,750.6093882,720.936114,752.8728604,59.62970785,55.20719743,63.7612905,166.6652798,155.7000466,173.1822363,313.538366,326.5240252,319.8513033,750.4180111,731.7864098,717.9547258
